title,company,location,job_type,date_posted
Stage Infographie,INFOCOM SERVICES GROUPE,"Dakar, Sénégal",Stage,Publié le 7 mai 2025
Agent(e) de Vente de Services de Location de Voitures et Taxi,Yango,"Hann Maristes, Dakar, Sénégal",CDD,Publié le 7 mai 2025
Business Developer (Homme/Femme),TooMorrow Agency,Sénégal,Freelance,Publié le 7 mai 2025
Livreur Moto,James Services,"Rond Point Jet d'eau, Dakar, Sénégal",Prestation de Services,Publié le 7 mai 2025
Stagiaire Contrôle qualité,DBLU GROUP SAS,"Mermoz, Dakar, Sénégal",Stage,Publié le 6 mai 2025
Responsable Marketing et Stratégie,Carlcare Technology,"Dakar, Sénégal",CDD,Publié le 6 mai 2025
Superviseur de Projets,Teranga Manpower,"Dakar, Sénégal",CDD,Publié le 6 mai 2025
Stagiaire Infographe – Cameraman – Monteur,DESIGNERGO,Sénégal,Stage,Publié le 6 mai 2025
Journaliste attaché de presse,4helpg,Sénégal,CDD,Publié le 6 mai 2025
(08) Chauffeurs – urgent,"AMD CORPORATEAdvising, Managing and Developing Corporate",Sénégal,CDD,Publié le 6 mai 2025
Business Developement Assistant,BEOPENIT,"Dakar, Sénégal",Prestation de Services,Publié le 6 mai 2025
Personnel Logistics & HR Admin Assistant,MODEC,"Dakar, Sénégal",CDD,Publié le 6 mai 2025
Onshore Operation Engineer Junior,MODEC,"Dakar, Sénégal",CDD,Publié le 6 mai 2025
Offshore Production Operator,MODEC,"Dakar, Sénégal",CDD,Publié le 6 mai 2025
Junior SRE,Djamo,"Dakar, Sénégal",CDD,Publié le 6 mai 2025
Test Automation Engineer,Djamo,"Dakar, Sénégal",CDD,Publié le 6 mai 2025
Chef transit,Topwork,"Dakar, Sénégal",CDD,Publié le 6 mai 2025
(02) Déclarants signataires,Topwork,"Dakar, Sénégal",CDD,Publié le 6 mai 2025
02 Déclarants en douane,Topwork,"Dakar, Sénégal",CDD,Publié le 6 mai 2025
Chargé.e d’Évaluation Senior,IMPACT Initiatives,"Dakar, Sénégal",CDD,Publié le 6 mai 2025
Téléprospecteurs en rénovation d’ampleur,MMS Contact,Télétravail,Prestation de Services,Publié le 6 mai 2025
Assistant IPM (stage),International Staffing Company,"Dakar, Sénégal",Stage,Publié le 6 mai 2025
Captain,Marriott International,"Dakar, Sénégal",CDD,Publié le 6 mai 2025
Business Development & Marketing Manager,VOX Agency,"Ngor Virage Immeuble Tall 55, Dakar, Sénégal",CDD,Publié le 6 mai 2025
05 Agents agricoles,Agence Hybride.,"Noto, Thiès, Sénégal",Prestation de Services,Publié le 6 mai 2025
02 techniciens de surface,Agence Hybride,"Dakar, Sénégal",CDD,Publié le 6 mai 2025
Commercial(e) téléopérateur(trice) en BTP,Reselform SARL,"Dakar, Sénégal",CDD,Publié le 6 mai 2025
Offshore Marine G.P Operator,MODEC,"Dakar, Sénégal",CDD,Publié le 5 mai 2025
Cost Controller Analyst,MODEC,"Dakar, Sénégal",CDD,Publié le 5 mai 2025
Boiler & Utility Operator_Offshore Maintenance,MODEC,"Dakar, Sénégal",CDD,Publié le 5 mai 2025
Technical and Quality Manager,International Staffing Company,"Dakar, Sénégal",CDD,Publié le 5 mai 2025
Superviseur de Fabrication/Metallurgiste,International Staffing Company,"Dakar, Sénégal",CDD,Publié le 5 mai 2025
HR Officer,International Staffing Company,"Saint-Louis, Sénégal",CDD,Publié le 5 mai 2025
Chef de Chantier Ouvrage Génie Civil,GPF,"Dakar, Sénégal",CDD,Publié le 5 mai 2025
